title,description,slug,preparation time,preparation time unit,servings,servings unit,preparation steps
Bolo de Cenoura,Delicioso bolo de cenoura com cobertura de chocolate,bolo-de-cenoura,60,minutos,10,fatias,"1. Bata os ingredientes no liquidificador; 2. Asse por 40 minutos; 3. Cubra com chocolate."
Feijoada,Tradicional feijoada brasileira com carnes variadas,feijoada,120,minutos,6,pessoas,"1. Cozinhe o feijão; 2. Frite as carnes; 3. Misture tudo e cozinhe por mais 30 minutos."
Lasanha à Bolonhesa,Massa em camadas com carne moída e molho branco,lasanha-a-bolonhesa,90,minutos,8,porções,"1. Monte as camadas; 2. Asse por 40 minutos; 3. Sirva quente."
Panqueca de Frango,Panquecas recheadas com frango desfiado,panqueca-de-frango,45,minutos,6,porções,"1. Prepare a massa; 2. Recheie com frango; 3. Asse com molho."
Brigadeiro,Doce típico brasileiro feito com leite condensado,brigadeiro,20,minutos,25,unidades,"1. Cozinhe até engrossar; 2. Enrole; 3. Passe no granulado."
Arroz de Polvo,Arroz úmido com pedaços macios de polvo,arroz-de-polvo,60,minutos,4,porções,"1. Cozinhe o polvo; 2. Refogue com arroz e temperos; 3. Cozinhe até secar."
Tapioca com Coco,Tapioca recheada com coco e leite condensado,tapioca-com-coco,10,minutos,2,porções,"1. Hidrate a goma; 2. Recheie; 3. Doure dos dois lados."
Moqueca de Peixe,Peixe cozido com leite de coco e dendê,moqueca-de-peixe,40,minutos,4,pessoas,"1. Marine o peixe; 2. Cozinhe com legumes e leite de coco; 3. Finalize com coentro."
Coxinha de Frango,Salgado recheado com frango e massa frita,coxinha-de-frango,90,minutos,20,unidades,"1. Prepare a massa; 2. Modele e recheie; 3. Empane e frite."
Pudim de Leite,Clássico pudim de leite condensado,pudim-de-leite,90,minutos,8,fatias,"1. Bata os ingredientes; 2. Caramelize a forma; 3. Asse em banho-maria."
Quiche de Alho-Poró,Torta salgada com alho-poró e creme,quiche-de-alho-poro,60,minutos,6,porções,"1. Prepare a massa e o recheio; 2. Asse por 40 minutos."
Macarrão ao Alho e Óleo,Macarrão simples e rápido,macarrao-ao-alho-e-oleo,20,minutos,2,porções,"1. Cozinhe o macarrão; 2. Refogue alho no óleo; 3. Misture e sirva."
Salada Grega,Salada fresca com queijo feta e azeitonas,salada-grega,15,minutos,4,pessoas,"1. Corte os ingredientes; 2. Misture tudo; 3. Regue com azeite e limão."
Strogonoff de Carne,Carne ao molho cremoso com champignon,strogonoff-de-carne,35,minutos,4,pessoas,"1. Refogue a carne; 2. Acrescente creme de leite e molho; 3. Cozinhe por 10 minutos."
Farofa de Banana,Farofa crocante com banana e cebola,farofa-de-banana,20,minutos,6,porções,"1. Refogue a cebola; 2. Adicione banana e farinha; 3. Misture bem."
Escondidinho de Carne,Carne moída coberta com purê de batata,escondidinho-de-carne,60,minutos,6,porções,"1. Cozinhe e tempere a carne; 2. Cubra com purê; 3. Leve ao forno."
Sopa de Legumes,Sopa leve e nutritiva com legumes variados,sopa-de-legumes,40,minutos,4,porções,"1. Pique os legumes; 2. Cozinhe tudo junto; 3. Tempere a gosto."
Pizza Caseira,Pizza com massa artesanal e recheio a gosto,pizza-caseira,90,minutos,8,fatias,"1. Prepare a massa; 2. Monte a pizza; 3. Asse até dourar."
Bolinho de Chuva,Bolinhos fritos com açúcar e canela,bolinho-de-chuva,30,minutos,20,unidades,"1. Misture os ingredientes; 2. Frite; 3. Passe no açúcar e canela."
Cuscuz Nordestino,Prato típico com flocos de milho,cuscuz-nordestino,25,minutos,2,porções,"1. Hidrate a massa; 2. Cozinhe no vapor; 3. Sirva com manteiga."
